Time,Centre posn X,Centre posn Y,In top,In left,In right,In center
0:00:00.00,,,0,0,1,0
0:00:00.29,226,124,0,0,1,0
0:00:00.83,193,101,0,0,1,0
0:00:01.66,291,394,1,0,0,0
0:00:01.80,291,398,1,0,0,0
0:00:01.90,291,395,1,0,0,0
0:00:02.04,294,397,1,0,0,0
0:00:02.17,294,397,1,0,0,0
0:00:02.27,294,396,1,0,0,0
0:00:02.40,294,394,1,0,0,0
0:00:02.54,294,394,1,0,0,0
0:00:02.67,293,396,1,0,0,0
0:00:02.80,291,393,1,0,0,0
0:00:02.94,291,394,1,0,0,0
0:00:03.07,291,395,1,0,0,0
0:00:03.23,290,404,1,0,0,0
0:00:03.34,291,402,1,0,0,0
0:00:03.44,294,394,1,0,0,0
0:00:03.54,295,392,1,0,0,0
0:00:03.69,293,394,1,0,0,0
0:00:03.84,295,391,1,0,0,0
0:00:03.97,294,392,1,0,0,0
0:00:04.12,295,395,1,0,0,0
0:00:04.25,295,396,1,0,0,0
0:00:04.39,296,397,1,0,0,0
0:00:04.53,294,397,1,0,0,0
0:00:04.67,293,399,1,0,0,0
0:00:04.81,294,407,1,0,0,0
0:00:04.95,293,408,1,0,0,0
0:00:05.09,293,403,1,0,0,0
0:00:05.23,294,396,1,0,0,0
0:00:05.37,294,395,1,0,0,0
0:00:05.47,294,396,1,0,0,0
0:00:05.62,293,399,1,0,0,0
0:00:05.75,292,402,1,0,0,0
0:00:05.89,291,403,1,0,0,0
0:00:06.03,293,401,1,0,0,0
0:00:06.16,294,397,1,0,0,0
0:00:06.30,294,400,1,0,0,0
0:00:06.44,294,402,1,0,0,0
0:00:06.57,294,402,1,0,0,0
0:00:06.72,293,400,1,0,0,0
0:00:06.85,292,400,1,0,0,0
0:00:06.99,292,402,1,0,0,0
0:00:07.12,292,403,1,0,0,0
0:00:07.25,292,405,1,0,0,0
0:00:07.39,292,408,1,0,0,0
0:00:07.52,292,412,1,0,0,0
0:00:07.65,293,411,1,0,0,0
0:00:07.79,294,405,1,0,0,0
0:00:07.93,293,402,1,0,0,0
0:00:08.06,293,399,1,0,0,0
0:00:08.22,295,382,1,0,0,0
0:00:08.35,296,372,1,0,0,0
0:00:08.48,297,360,1,0,0,0
0:00:08.63,301,333,1,0,0,0
0:00:08.77,300,325,1,0,0,0
0:00:08.91,301,323,1,0,0,0
0:00:09.05,302,324,1,0,0,0
0:00:09.18,303,327,1,0,0,0
0:00:09.32,303,330,1,0,0,0
0:00:09.46,303,331,1,0,0,0
0:00:09.59,303,327,1,0,0,0
0:00:09.73,304,323,1,0,0,0
0:00:09.86,304,318,1,0,0,0
0:00:09.99,305,308,1,0,0,0
0:00:10.13,308,278,1,0,0,0
0:00:10.27,311,266,1,0,0,0
0:00:10.40,312,244,1,0,0,0
